State Name,County Name,Place Name,Survey Date,Total buildings,Total units,Total value,Single family units,Single family value,Multifamily buildings,Multifamily units,Multifamily value,2-units buildings,2-units units,2-units value,3-4 units buildings,3-4 units units,3-4 units value,5+ units buildings,5+ units units,5+ units value,1-unit buildings rep,1-unit units rep,1-unit value rep,2-units buildings rep,2-unit units rep,2-units value rep,3-4 units buildings rep,3-4 units units rep,3-4 units value rep,5+ units buildings rep,5+ units units rep,5+ units value rep,Total buildings rep,Total units rep,Total value rep
Alabama,Madison County,Madison County Unincorporated Area,2022,"1,431","1,431","350,691,032","1,431","350,691,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Lee County,Auburn,2022,504,"1,358","279,007,363",482,"132,380,407",22,876,"146,626,956",9,18,"2,543,752",2,7,"900,000",11,851,"143,183,204",482,482,"132,380,407",9,18,"2,543,752",2,7,"900,000",11,851,"143,183,204",504,"1,358","279,007,363"
Alabama,Jefferson County,Birmingham,2022,183,"1,211","228,702,152",111,"25,791,157",72,"1,100","202,910,995",31,62,"10,949,523",12,46,"6,912,052",29,992,"185,049,420",111,111,"25,791,157",31,62,"10,949,523",12,46,"6,912,052",29,992,"185,049,420",183,"1,211","228,702,152"
Alabama,Madison County,Huntsville,2022,"1,093","1,130","78,501,990","1,083","63,870,895",10,47,"14,631,095",1,2,"220,000",1,4,"510,000",8,41,"13,901,095","1,083","1,083","63,870,895",1,2,"220,000",1,4,"510,000",8,41,"13,901,095","1,093","1,130","78,501,990"
Alabama,Limestone County,Athens,2022,490,844,"174,009,869",473,"126,899,026",17,371,"47,110,843",0,0,0,0,0,0,17,371,"47,110,843",473,473,"126,899,026",0,0,0,0,0,0,17,371,"47,110,843",490,844,"174,009,869"
Alabama,Baldwin County,Baldwin County Unincorporated Area,2022,779,785,"220,766,832",773,"219,196,732",6,12,"1,570,100",6,12,"1,570,100",0,0,0,0,0,0,773,773,"219,196,732",6,12,"1,570,100",0,0,0,0,0,0,779,785,"220,766,832"
Alabama,Tuscaloosa County,Tuscaloosa,2022,324,628,"146,986,425",299,"96,244,370",25,329,"50,742,055",2,4,"834,833",16,54,"8,230,598",7,271,"41,676,624",213,213,"74,461,975",1,2,"359,875",4,13,"5,141,248",1,30,"1,750,000",219,258,"81,713,098"
Alabama,Baldwin County,Foley,2022,579,579,"135,327,184",579,"135,327,184",0,0,0,0,0,0,0,0,0,0,0,0,579,579,"135,327,184",0,0,0,0,0,0,0,0,0,579,579,"135,327,184"
Alabama,Lee County,Opelika,2022,389,562,"116,373,325",375,"90,581,404",14,187,"25,791,921",4,8,"1,418,454",0,0,0,10,179,"24,373,467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Baldwin County,Fairhope,2022,279,519,"150,563,636",259,"128,169,036",20,260,"22,394,600",10,20,"3,543,600",0,0,0,10,240,"18,851,000",259,259,"128,169,036",10,20,"3,543,600",0,0,0,10,240,"18,851,000",279,519,"150,563,636"
Alabama,Baldwin County,Gulf Shores,2022,510,513,"188,493,943",509,"187,709,258",1,4,"784,685",0,0,0,1,4,"784,685",0,0,0,509,509,"187,709,258",0,0,0,1,4,"784,685",0,0,0,510,513,"188,493,943"
Alabama,Mobile County,Mobile County Unincorporated Area,2022,383,383,"94,989,519",383,"94,989,519",0,0,0,0,0,0,0,0,0,0,0,0,301,301,"75,458,502",0,0,0,0,0,0,0,0,0,301,301,"75,458,502"
Alabama,Jefferson County,Jefferson County Unincorporated Area,2022,346,346,"77,135,403",346,"77,135,403",0,0,0,0,0,0,0,0,0,0,0,0,346,346,"77,135,403",0,0,0,0,0,0,0,0,0,346,346,"77,135,403"
Alabama,Jefferson County,Hoover,2022,314,314,"185,099,765",314,"185,099,765",0,0,0,0,0,0,0,0,0,0,0,0,314,314,"185,099,765",0,0,0,0,0,0,0,0,0,314,314,"185,099,765"
