jurisdiction,state,county
ABBEVILLE,AL,HENRY COUNTY
ADAMSVILLE,AL,JEFFERSON COUNTY
AKRON TOWN,AL,HALE COUNTY
ALABASTER,AL,SHELBY COUNTY
ALICEVILLE,AL,PICKENS COUNTY
ANNISTON,AL,CALHOUN COUNTY
ARDMORE TOWN,AL,LIMESTONE COUNTY
ASHFORD TOWN,AL,HOUSTON COUNTY
ASHVILLE TOWN,AL,ST. CLAIR COUNTY
ATHENS,AL,LIMESTONE COUNTY
ATTALLA,AL,ETOWAH COUNTY
AUBURN,AL,LEE COUNTY
AUTAUGA COUNTY UNINCORPORATED AREA,AL,AUTAUGA COUNTY
AVON TOWN,AL,HOUSTON COUNTY
BALDWIN COUNTY UNINCORPORATED AREA,AL,BALDWIN COUNTY
BAY MINETTE,AL,BALDWIN COUNTY
BAYOU LA BATRE,AL,MOBILE COUNTY
BENTON TOWN,AL,LOWNDES COUNTY
BESSEMER,AL,JEFFERSON COUNTY
BIRMINGHAM,AL,JEFFERSON COUNTY
BLOUNTSVILLE TOWN,AL,BLOUNT COUNTY
BRANCHVILLE TOWN,AL,ST. CLAIR COUNTY
BRIGHTON,AL,JEFFERSON COUNTY
BROOKSIDE TOWN,AL,JEFFERSON COUNTY
BROWNVILLE,AL,JEFFERSON COUNTY
CALERA,AL,SHELBY COUNTY
CARBON HILL,AL,WALKER COUNTY
CARDIFF TOWN,AL,JEFFERSON COUNTY
CENTER POINT,AL,JEFFERSON COUNTY
CENTREVILLE,AL,BIBB COUNTY
CHELSEA,AL,SHELBY COUNTY
CHEROKEE TOWN,AL,COLBERT COUNTY
CHICKASAW,AL,MOBILE COUNTY
CITRONELLE,AL,MOBILE COUNTY
CLANTON,AL,CHILTON COUNTY
CLAY,AL,JEFFERSON COUNTY
COFFEE SPRINGS TOWN,AL,GENEVA COUNTY
COLUMBIANA,AL,SHELBY COUNTY
COOSADA TOWN,AL,ELMORE COUNTY
CORDOVA,AL,WALKER COUNTY
COTTONWOOD TOWN,AL,HOUSTON COUNTY
COUNTY LINE TOWN,AL,JEFFERSON COUNTY
COWARTS TOWN,AL,HOUSTON COUNTY
